route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
A28,EPTC,A28,Escolar,,3,https://linhas.eptc.com.br,FF0000,000000
A348,EPTC,A348,Jardim Bento Goncalves/Terminal Azenha,,3,https://linhas.eptc.com.br,008000,000000
A60,EPTC,A60,Alim. Triangulo/A Brasil/Fiergs Ate F. Ferrari,,3,https://linhas.eptc.com.br,0000FF,000000
A872,EPTC,A872,Alimentadora Hípica/Costa Gama,,3,https://linhas.eptc.com.br,FF0000,000000
A993,EPTC,A993,Quirinas/P. Batalha/Circular/Escolar,,3,https://linhas.eptc.com.br,008000,000000
B09,EPTC,B09,Aeroporto/Industrias/Iguatemi,,3,https://linhas.eptc.com.br,0000FF,000000
B511,EPTC,B511,Parque/H Conceicao/Postao Iapi,,3,https://linhas.eptc.com.br,0000FF,000000
B56,EPTC,B56,Passo Das Pedras / Aeroporto,,3,https://linhas.eptc.com.br,0000FF,000000
C3,EPTC,C3,Circular Urca,,3,https://linhas.eptc.com.br,CC7722,000000
C80,EPTC,C80,Circular Zona Sul,,3,https://linhas.eptc.com.br,FF0000,000000
D13,EPTC,D13,Diretao/Elisabeth,,3,https://linhas.eptc.com.br,0000FF,000000
D72,EPTC,D72,Diretao/Via Sta. Rosa,,3,https://linhas.eptc.com.br,0000FF,000000
M10,EPTC,M10,Restinga Nova Via Velha/5 Unid/Noturna,,3,https://linhas.eptc.com.br,FF0000,000000
R321,EPTC,R321,Rapida - Bonsucesso/Parada 13,,3,https://linhas.eptc.com.br,008000,000000
R9,EPTC,R9,Rapida Hipica,,3,https://linhas.eptc.com.br,FF0000,000000
T10,EPTC,T10,Triangulo/Antonio De Carvalho,,3,https://linhas.eptc.com.br,CC7722,000000
T11,EPTC,T11,3ª Perimetral,,3,https://linhas.eptc.com.br,CC7722,000000
T52,EPTC,T52,Transversal 5/Domingos,,3,https://linhas.eptc.com.br,CC7722,000000
T7,EPTC,T7,Nilo/Praia De Belas,,3,https://linhas.eptc.com.br,CC7722,000000
7052,EPTC,7052,Aeroporto/Ceasa,,3,https://linhas.eptc.com.br,0000FF,000000
7151,EPTC,7151,Sarandi/Sertório,,3,https://linhas.eptc.com.br,0000FF,000000
4944,EPTC,4944,Rubem Berta/Jardim Ypu,,3,https://linhas.eptc.com.br,008000,000000
4332,EPTC,4332,Vila Jardim Via Gasômetro/Domingos,,3,https://linhas.eptc.com.br,008000,000000
A161,EPTC,A161,Alim. Dorival C Machado/Imp. Parque/Rot. E Prado,,3,https://linhas.eptc.com.br,FF0000,000000
A85,EPTC,A85,Alimentadora/Nonoai,,3,https://linhas.eptc.com.br,FF0000,000000
3752,EPTC,3752,Agronomia/Ufrgs,,3,https://linhas.eptc.com.br,008000,000000
C22,EPTC,C22,Circular Praca Xv/Orla,,3,https://linhas.eptc.com.br,008000,000000
3443,EPTC,3443,Santa Maria/Vdt. Dona Leopoldina,,3,https://linhas.eptc.com.br,008000,000000
43321,EPTC,43321,Vila Jardim Via Gasômetro Domingos (Via Leste),,3,https://linhas.eptc.com.br,008000,000000
49232,EPTC,49232,Petrópolis/Sesc/Domingos (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
E378,EPTC,E378,Integradora,,3,https://linhas.eptc.com.br,FF0000,000000
EM013,EPTC,EM013,Noite Dos Museus (Mais),,3,https://linhas.eptc.com.br,008000,000000
1106,EPTC,1106,Restinga Nova Via Tristeza (Mais),,3,https://linhas.eptc.com.br,008000,000000
4321,EPTC,4321,Carlos Gomes/Petrópolis (Mob),,3,https://linhas.eptc.com.br,0000FF,000000
4382,EPTC,4382,Santana/Jardim Botanico,,3,https://linhas.eptc.com.br,008000,000000
3947,EPTC,3947,Q Do Portal/Map/Pda 6,,3,https://linhas.eptc.com.br,008000,000000
O491,EPTC,O491,Orla/Passo Dorneles,,3,https://linhas.eptc.com.br,008000,000000
O627,EPTC,O627,Orla Agostinho,,3,https://linhas.eptc.com.br,0000FF,000000
3953,EPTC,3953,Quinta Do Portal/Via Ipiranga,,3,https://linhas.eptc.com.br,008000,000000
2576,EPTC,2576,Paulino Azurenha/Caldre Fiao,,3,https://linhas.eptc.com.br,008000,000000
A48,EPTC,A48,Alimentadora Jardim Bento Goncalves,,3,https://linhas.eptc.com.br,008000,000000
A20,EPTC,A20,Alimentadora Lami/Restinga Até Hospital,,3,https://linhas.eptc.com.br,FF0000,000000
25611,EPTC,25611,Intendente Azevedo (Mais),,3,https://linhas.eptc.com.br,008000,000000
